scenario_id,accident_year,expected_loss_prior_ultimate,pricing_assumption_version,paid_to_date,estimated_reserve,estimated_ultimate,prior_exhausted,basis,model,true_reserve,simulation_id,seed,tail_type,inflation_scenario,structural_break,clause_type,signed_error
short_stable_no_break,2022,138754510.23007426,pricing_mc_v1,97095476.09379587,41659034.13627839,138754510.23007426,False,gross,expected_loss,8034708.810320237,28,20260844,short,stable,False,none,33624325.325958155
short_stable_no_break,2023,143197373.0330518,pricing_mc_v1,114589048.57200614,28608324.461045653,143197373.0330518,False,gross,expected_loss,38424647.42672524,28,20260844,short,stable,False,none,-9816322.965679586
short_stable_no_break,2024,149194709.69424832,pricing_mc_v1,72652793.41860123,76541916.27564709,149194709.69424832,False,gross,expected_loss,82722939.44548178,28,20260844,short,stable,False,none,-6181023.169834688
short_stable_no_break,2010,10831132.194445187,pricing_mc_v1,9221669.284254203,1609462.9101909846,10831132.194445187,False,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,1609462.9101909846
short_stable_no_break,2011,11866615.197172416,pricing_mc_v1,10955594.355119405,911020.8420530111,11866615.197172416,False,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,911020.8420530111
short_stable_no_break,2012,13082760.09056677,pricing_mc_v1,8621134.430703051,4461625.659863718,13082760.09056677,False,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,4461625.659863718
short_stable_no_break,2013,14646584.852065822,pricing_mc_v1,15832865.023518842,0.0,15832865.023518842,True,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2014,16099494.21746044,pricing_mc_v1,33861451.26485194,0.0,33861451.26485194,True,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2015,17606606.810888685,pricing_mc_v1,7933832.434089652,9672774.376799032,17606606.810888685,False,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,9672774.376799032
short_stable_no_break,2016,19197216.97180749,pricing_mc_v1,18033310.304394823,1163906.6674126685,19197216.97180749,False,ceded,expected_loss,0.0,28,20260844,short,stable,False,none,1163906.6674126685
