comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,ceded,,50,501.2636047583581,341.12057842044624,680.8360265285811,10000,803557475
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,ceded,,50,304.377980801506,226.4590413220461,391.2008484131016,10000,3140212207
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,ceded,,50,349.4043423437109,195.1620877823545,541.5467954922691,10000,1079725116
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,gross,,0,,,,10000,661327076
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,gross,,0,,,,10000,376642839
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,gross,,0,,,,10000,3350609135
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,gross,,50,44.2929408532809,39.54830483699078,49.209820058825,10000,1383721168
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,gross,,50,97.70774659280325,88.3280362279184,106.84156379848717,10000,236870938
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,gross,,50,36.839225735446846,28.577105737910532,44.84211510241221,10000,1156295259
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,ceded,,0,,,,10000,4284398
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,ceded,,0,,,,10000,2475481748
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,ceded,,0,,,,10000,2227357509
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,ceded,,50,148.1687863599416,80.76519345186837,223.55404672027504,10000,2602773598
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,ceded,,50,148.16878638136205,80.87861977712315,224.9126273491804,10000,1167516582
