comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,prior_multiplier_a,prior_multiplier_b,group_type,pool_label
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,314248329,1e-12,37.11946673822576,30.132740820250845,6.98672591797491,6.9868266634835905,0.5659667331646303,0.0,1.0,6.83470810829556,7.14343221323289,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_break,ceded,expected_loss,50,50,0,{},0.0,22,28,0,10000,2747143218,1e-12,11.856381723916439,11.557521295802424,0.2988604281140118,2.3843914529287424,13.531624235804026,0.44,0.56,-3.35518268046041,4.044997262713635,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,567696138,1e-12,34.31079368080656,27.011992978673963,7.298800702132605,7.270756063757679,0.5689509279026862,0.0,1.0,7.14491648033886,7.455767455347256,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,5,45,0,10000,3436058586,1e-12,13.956096796333126,7.065145290390937,6.890951505942189,9.027549780118964,5.2504636834135985,0.1,0.9,5.337598689896681,8.1970668838729,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_break,gross,expected_loss,50,50,0,{},0.0,24,26,0,10000,2784683856,1e-12,15.118513067883065,14.505552325594927,0.6129607422881392,4.362271564681165,18.467580878053244,0.48,0.52,-4.498893028145385,5.594675351459969,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,743750896,1e-12,44.62754455164732,38.475049501830355,6.1524950498169595,6.109255798628123,0.47205797218722256,0.0,1.0,6.024257819139026,6.281663056958679,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1312334639,1e-12,44.62754455164732,38.475049501830355,6.1524950498169595,6.109255798628123,0.47205797218722256,0.0,1.0,6.023863139015416,6.28223276194939,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_no_break,ceded,expected_loss,50,50,0,{},0.0,22,28,0,10000,4258081970,1e-12,10.440753232315556,9.489885353018945,0.9508678792966115,3.3024235945616027,11.45178863194285,0.44,0.56,-2.2793415436521003,4.03304003771431,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,717369089,1e-12,29.037192596546607,21.152436218385105,7.884756378161499,7.851905547321918,0.5663098328924983,0.0,1.0,7.7320657488580915,8.043331605533972,0.9,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_no_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1126590305,1e-12,29.037192596546607,21.152436218385105,7.884756378161499,7.851905547321918,0.5663098328924983,0.0,1.0,7.731494440164556,8.04030051603335,0.9,1.0,scenario_basis_model,
